entidad,municipio,tot_viviendas,num_encuestas,encuestas_100
32,023,3890.0,20,0.5141388174807198
29,030,3771.0,19,0.5038451339167329
24,046,4645.0,23,0.4951560818083961
20,293,5054.0,25,0.4946576968737634
12,043,3859.0,19,0.4923555325213786
07,013,8413.0,40,0.4754546535124213
29,002,4234.0,20,0.4723665564478035
13,068,4027.0,19,0.4718152470821952
13,057,4086.0,19,0.46500244738130203
13,017,3888.0,18,0.46296296296296297
24,051,4220.0,19,0.45023696682464454
24,023,4470.0,20,0.44742729306487694
20,327,4561.0,20,0.43850032887524665
27,011,8672.0,38,0.4381918819188192
28,030,4120.0,18,0.4368932038834951
31,056,8572.0,36,0.4199720018665422
01,007,13469.0,56,0.4157695448808375
21,090,5857.0,24,0.4097660918558989
32,026,4646.0,19,0.4089539388721481
05,004,8633.0,35,0.4054210587281362
29,044,11368.0,46,0.40464461646727656
32,054,4951.0,20,0.4039587962027873
24,041,4959.0,20,0.40330711837063926
29,060,1241.0,5,0.40290088638195004
07,062,4479.0,18,0.40187541862022774
29,001,3010.0,12,0.39867109634551495
30,164,4903.0,19,0.38751784621660207
13,054,9808.0,38,0.38743882544861336
14,123,5168.0,20,0.38699690402476783
24,036,8391.0,32,0.38136098200452867
18,007,5021.0,19,0.3784106751643099
29,054,1332.0,5,0.37537537537537535
17,010,5135.0,19,0.37000973709834467
21,134,5150.0,19,0.36893203883495146
26,025,14808.0,54,0.3646677471636953
13,025,5544.0,20,0.36075036075036077
03,002,19473.0,70,0.35947208955990345
12,014,5069.0,18,0.3550996251726179
17,030,14652.0,52,0.3549003549003549
20,278,10427.0,37,0.35484799079313323
29,021,4793.0,17,0.3546839140413102
22,007,10852.0,38,0.3501658680427571
22,013,4869.0,17,0.34914766892585747
26,058,4930.0,17,0.3448275862068966
18,010,10213.0,35,0.3427004797806717
03,009,5588.0,19,0.34001431639226914
21,050,5311.0,18,0.33891922425155335
20,406,5621.0,19,0.33801814623732435
16,019,5921.0,20,0.3377807802736024
29,031,9514.0,32,0.3363464368299348
24,007,5087.0,17,0.33418517790446234
32,014,5404.0,18,0.33308660251665434
20,559,6032.0,20,0.33156498673740054
17,031,10566.0,35,0.33125118303993945
15,007,6081.0,20,0.328893274132544
25,013,11584.0,38,0.3280386740331492
18,015,28957.0,94,0.32461926304520494
16,062,5590.0,18,0.3220035778175313
30,104,4989.0,16,0.32070555221487274
31,079,11545.0,37,0.32048505846686876
06,003,6323.0,20,0.3163055511624229
29,019,5695.0,18,0.3160667251975417
01,002,12534.0,39,0.3111536620392532
06,002,50439.0,156,0.3092844822458812
30,129,5179.0,16,0.30893994979725814
12,056,11575.0,35,0.3023758099352052
13,050,6309.0,19,0.301157077191314
06,009,33018.0,99,0.2998364528439033
10,036,5681.0,17,0.2992430910051047
03,001,22241.0,66,0.296749246886381
11,013,6764.0,20,0.29568302779420463
04,003,72090.0,213,0.2954640033291719
16,046,4076.0,12,0.2944062806673209
24,017,6512.0,19,0.2917690417690418
21,115,13493.0,39,0.2890387608389535
20,002,13012.0,37,0.28435290501075927
28,043,7045.0,20,0.28388928317955997
30,045,18394.0,52,0.2827008807219746
07,087,11045.0,31,0.2806699864191942
10,022,6854.0,19,0.27721038809454335
11,022,6136.0,17,0.2770534550195567
29,041,8310.0,23,0.2767749699157641
32,037,4713.0,13,0.2758328028856355
20,318,13833.0,38,0.27470541458830333
06,007,59803.0,164,0.27423373409360735
10,013,6935.0,19,0.273972602739726
13,018,6260.0,17,0.2715654952076677
16,083,8164.0,22,0.2694757471827536
17,002,7060.0,19,0.26912181303116145
31,048,6321.0,17,0.2689447872172125
24,008,6376.0,17,0.266624843161857
29,025,18158.0,48,0.26434629364467455
16,064,7195.0,19,0.2640722724113968
07,075,7232.0,19,0.2627212389380531
04,004,21469.0,56,0.26084121291164003
16,073,6903.0,18,0.2607561929595828
18,004,23404.0,60,0.256366433088361
03,003,91196.0,233,0.2554936620027194
31,040,7905.0,20,0.2530044275774826
12,039,7151.0,18,0.25171304712627607
25,007,8163.0,20,0.24500796275878967
10,039,7431.0,18,0.24222850222042794
14,037,7462.0,18,0.24122219244170465
07,032,7882.0,19,0.2410555696523725
25,004,7210.0,17,0.23578363384188628
10,038,6372.0,15,0.23540489642184556
05,003,6852.0,16,0.23350846468184472
03,008,101737.0,237,0.2329535960368401
06,001,8236.0,19,0.23069451189898008
04,005,8292.0,19,0.2291365171249397
23,007,7912.0,18,0.2275025278058645
13,062,7498.0,17,0.22672712723392904
04,002,85343.0,193,0.226146256869339
04,010,8035.0,18,0.22401991288114498
12,007,8953.0,20,0.22338880822070814
27,001,17033.0,38,0.223096342394176
12,051,8975.0,20,0.22284122562674094
11,011,25383.0,56,0.22062010006697397
20,041,8799.0,19,0.21593362882145697
13,012,8382.0,18,0.2147458840372226
14,043,7004.0,15,0.21416333523700742
30,144,8937.0,19,0.21259930625489537
17,012,16963.0,35,0.20633142722395803
22,017,18958.0,39,0.20571790273235574
14,119,7791.0,16,0.2053651649338981
27,006,37604.0,77,0.20476545048399106
18,008,18629.0,38,0.20398303720006442
06,005,9331.0,19,0.2036223341549673
32,039,17719.0,36,0.2031717365539816
18,009,8951.0,18,0.2010948497374595
21,094,8982.0,18,0.20040080160320642
19,014,8984.0,18,0.20035618878005343
31,019,8511.0,17,0.1997415109857831
16,025,9521.0,19,0.19955886986661064
29,043,11619.0,23,0.19795163094930718
11,004,16166.0,32,0.19794630706420882
07,064,10105.0,20,0.1979218208807521
13,077,45979.0,91,0.19791644011396506
29,038,5079.0,10,0.19688915140775742
11,029,10162.0,20,0.19681165124975397
08,040,8131.0,16,0.19677776411265527
06,010,49072.0,96,0.19563090968373004
14,016,10744.0,21,0.19545793000744602
04,006,10242.0,20,0.19527436047646943
10,001,8733.0,17,0.19466391847017062
07,057,16617.0,32,0.19257387013299632
25,009,16264.0,31,0.19060501721593703
20,397,10596.0,20,0.1887504718761797
30,126,10623.0,20,0.18827073331450625
13,059,10219.0,19,0.18592817301105782
17,006,52396.0,97,0.18512863577372318
13,083,17480.0,32,0.18306636155606407
11,018,9993.0,18,0.18012608826178325
26,029,47102.0,84,0.17833637637467623
13,073,9551.0,17,0.17799183331588314
16,065,9583.0,17,0.177397474694772
23,002,21465.0,38,0.17703237829023993
18,017,126273.0,223,0.17660149042154696
27,012,43231.0,75,0.17348661839883417
16,034,31186.0,54,0.17315462066311807
23,006,10428.0,18,0.17261219792865362
29,005,22607.0,39,0.1725129384703853
30,134,7539.0,13,0.17243666268735908
11,046,19177.0,33,0.1720811388642645
30,191,9924.0,17,0.17130189439742038
18,016,11687.0,20,0.17113031573543253
21,180,9941.0,17,0.17100895282164771
12,034,10535.0,18,0.170859041290935
20,565,11810.0,20,0.1693480101608806
17,025,10113.0,17,0.16810046474834373
26,033,21446.0,36,0.16786347104355123
29,039,5994.0,10,0.1668335001668335
23,004,70782.0,118,0.1667090503235286
